title;view_count;
Interstellar;6.7M;
The Avengers;38M;
Deadpool;16M;
Avengers: Infinity War;263M;
Guardians of the Galaxy;11M;
Django Unchained;2.2M;
Avengers: Endgame;158M;
The Wolf of Wall Street;1.1M;
Avengers: Age of Ultron;93M;
Captain America: Civil War;89M;
The Dark Knight Rises;36M;
Iron Man 3;31M;
Doctor Strange;4.8M;
Mad Max: Fury Road;38M;
The Hunger Games;2.1M;
Spider-Man: Homecoming;11M;
Guardians of the Galaxy Vol. 2;5.1M;
Suicide Squad;97M;
Thor: Ragnarok;83M;
Jurassic World;93M;
Ant-Man;26M;
The Martian;21M;
Star Wars: The Force Awakens;110M;
Spider-Man: No Way Home;82M;
John Wick;18M;
Fantastic Beasts and Where to Find Them;19M;
Coco;4.3M;
Captain America: The Winter Soldier;3.6M;
Gone Girl;9.2M;
The Hobbit: An Unexpected Journey;1M;
Batman v Superman: Dawn of Justice;79M;
Thor: The Dark World;22M;
The Amazing Spider-Man;17M;
Deadpool 2;50M;
The Hunger Games: Catching Fire;4M;
The Imitation Game;7.8M;
Bohemian Rhapsody;39M;
The Maze Runner;16M;
Kingsman: The Secret Service;7.8M;
La La Land;43M;
Frozen;38M;
Dunkirk;49M;
Zootopia;24M;
Lucy;6.2M;
Big Hero 6;21M;
Now You See Me;13M;
The Hunger Games: Mockingjay - Part 1;14M;
Captain Marvel;62M;
Baby Driver;2.8M;
Spider-Man: Far From Home;87M;
Skyfall;31M;
Gravity;20M;
X-Men: Days of Future Past;37M;
Ready Player One;38M;
World War Z;16M;
Star Wars: The Last Jedi;58M;
Man of Steel;50M;
Spider-Man: Into the Spider-Verse;42M;
The Grand Budapest Hotel;14M;
Her;3M;
The Hobbit: The Battle of the Five Armies;24M;
The Hateful Eight;6.8M;
Aquaman;66M;
Edge of Tomorrow;18M;
Jumanji: Welcome to the Jungle;37M;
Hacksaw Ridge;27M;
Brave;22M;
Ant-Man and the Wasp;17M;
Maleficent;22M;
Passengers;34M;
Life of Pi;5.2M;
Ex Machina;9.3M;
The Amazing Spider-Man 2;41M;
Blade Runner 2049;37M;
Justice League;40M;
The Hobbit: The Desolation of Smaug;8.2M;
Once Upon a Timeâ€¦ in Hollywood;40M;
X-Men: Apocalypse;21M;
Birdman or (The Unexpected Virtue of Ignorance);16M;
Divergent;2.1M;
American Sniper;26M;
Incredibles 2;165M;
John Wick: Chapter 2;21M;
Pacific Rim;23M;
The Hunger Games: Mockingjay - Part 2;24M;
Wreck-It Ralph;12M;
Ted;24M;
The Great Gatsby;22M;
The Shape of Water;26M;
Finding Dory;31M;
Me Before You;30M;
1917;17M;
Call Me by Your Name;23M;
Silver Linings Playbook;1.3M;
Prometheus;1.9M;
Pirates of the Caribbean: Dead Men Tell No Tales;10M;
Fifty Shades of Grey;108M;
A Star Is Born;36M;
Prisoners;14M;
The Conjuring;37M;
The Fault in Our Stars;48M;
12 Years a Slave;8.6M;
Green Book;14M;
Despicable Me 2;121M;
Jurassic World: Fallen Kingdom;69M;
Dawn of the Planet of the Apes;12M;
Fantastic Beasts: The Crimes of Grindelwald;15M;
Now You See Me 2;11M;
Nightcrawler;6.1M;
Oblivion;9.9M;
Furious 7;75M;
Minions;30M;
Spectre;6.6M;
The Perks of Being a Wallflower;12M;
Avatar: The Way of Water;28M;
The Fate of the Furious;20M;
John Wick: Chapter 3 - Parabellum;43M;
Kong: Skull Island;19M;
Men in Black 3;18M;
Maze Runner: The Scorch Trials;16M;
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn);30M;
21 Jump Street;756K;
Looper;10M;
Kingsman: The Golden Circle;26M;
Insurgent;13M;
Aladdin;789K;
Three Billboards Outside Ebbing; Missouri;10M
Miss Peregrine's Home for Peculiar Children;18M;
The Lion King;76M;
Venom: Let There Be Carnage;51M;
Toy Story 4;67M;
Godzilla vs. Kong;108M;
Star Wars: The Rise of Skywalker;50M;
The Wolverine;584K;
Hidden Figures;9.2M;
How to Train Your Dragon 2;3.1M;
Snowpiercer;4.1M;
Sonic the Hedgehog;53M;
The Greatest Showman;24M;
Shazam!;49M;
Tenet;37M;
Jojo Rabbit;30M;
Encanto;47M;
Star Trek Into Darkness;8.1M;
The Batman;62M;
xXx: Return of Xander Cage;16M;
Shang-Chi and the Legend of the Ten Rings;31M;
Alita: Battle Angel;20M;
Godzilla;42M;
The Twilight Saga: Breaking Dawn - Part 2;1.9M;
The Big Short;13M;
We're the Millers;19M;
Elysium;12M;
Mission: Impossible - Rogue Nation;15M;
The Equalizer;15M;
The Hangover Part III;6M;
San Andreas;17M;
War for the Planet of the Apes;6.8M;
It Chapter Two;41M;
Annihilation;23M;
Dallas Buyers Club;1M;
Doctor Strange in the Multiverse of Madness;64M;
Jumanji: The Next Level;46M;
Solo: A Star Wars Story;Error;
The Purge;Error;
Lady Bird;21M;
Sicario;7.9M;
Wonder Woman 1984;43M;
Alien: Covenant;31M;
About Time;3.8M;
Ocean's Eight;22M;
The Conjuring 2;27M;
Spotlight;6.2M;
Argo;3.1M;
The Suicide Squad;16M;
The Jungle Book;10M;
The Secret Life of Pets;34M;
Free Guy;25M;
Transformers: Age of Extinction;754K;
Ghost in the Shell;5.4M;
Bad Boys for Life;17M;
Top Gun: Maverick;43M;
Baywatch;19M;
Mission: Impossible - Fallout;42M;
Fifty Shades Freed;4M;
Snow White and the Huntsman;1.7M;
Eternals;47M;
22 Jump Street;7.2M;
Sing;11M;
Chappie;15M;
10 Cloverfield Lane;11M;
Assassin's Creed;2.7M;
Tomb Raider;24M;
The Cabin in the Woods;11M;
Fifty Shades Darker;25M;
The Lego Movie;35M;
The Nice Guys;10M;
Nocturnal Animals;5.5M;
Maze Runner: The Death Cure;21M;
The Secret Life of Walter Mitty;663K;
